1541217101683, Voiculescu, Alexandru, masculin, 1976
1800827272986, Dogaru, Raul, masculin, 2006
1591024311808, Medeleanu, David, masculin, 1984
2750919181799, Lazar, Andreea, feminin, 2002
2710717177270, Nastase, Andreea, feminin, 1996
1781105290371, Danciu, Cosmin, masculin, 1998
2520525192014, Sabau, Mihaela, feminin, 1970
1891101068394, Grigorescu, Mihai, masculin, 2007
1910811355821, Opris, Raul, masculin, 2014
1760211202642, Nicoara, Cosmin, masculin, 1996
2980814133291, Craciun, Otlia, feminin, 2022
2680826039662, Gruia, Ingrid, feminin, 1993
2780512097015, Opris, Natalia, feminin, 2001
1950524064284, Nastase, Doru, masculin, 2013
2751121209065, Medeleanu, Anda, feminin, 1994
1681010515392, Nicoara, Robert, masculin, 1987
2940605519690, Sabau, Maria, feminin, 2016
1580807203101, Ene, Horia, masculin, 1981
1940814114837, Hosu, Raul, masculin, 2021
1690210131721, Mureseanu, Sergiu, masculin, 1989
2690701223469, Manole, Simina, feminin, 1990
1870712034449, Herlea, Stefan, masculin, 2006
2920515291381, Gruia, Flavia, feminin, 2013
1630514093239, Manole, Doru, masculin, 1983
2590419228378, Gruia, Alexandra, feminin, 1978
2880831358547, Gliga, Mihaela, feminin, 2008
1860914348851, Hosu, Robert, masculin, 2009
1700812091497, Sabau, Cornel, masculin, 1990
2500716047641, Nicoara, Alexandra, feminin, 1968
1560131108899, Danciu, Ciprian, masculin, 1976
2911119012942, Medeleanu, Flavia, feminin, 2013
1920614041623, Craciun, Ciprian, masculin, 2016
2780625190924, Hetco, Ioana, feminin, 2003
1770713316728, Fulga, Robert, masculin, 1996
2570708231568, Opris, Ada, feminin, 1983
1720110378019, Toderas, Stefan, masculin, 1989
2540110097281, Toderas, Florina, feminin, 1978
2740709520834, Opris, Ioana, feminin, 1993
2770505114853, Fulga, Zenobia, feminin, 1998
1980216159506, Hetco, Mihai, masculin, 2019
2610320312151, Gliga, Izabela, feminin, 1986
2520928323256, Medeleanu, Anda, feminin, 1972
2501123038363, Gliga, Ioana, feminin, 1971
2510702331057, Ene, Nicoleta, feminin, 1970
2571221121165, Ionita, Maria, feminin, 1977
2590903257231, Grigorescu, Mihaela, feminin, 1979
1620811392960, Toderas, Stefan, masculin, 1986
2891220222581, Grigorescu, Adriana, feminin, 2016
2500905093020, Gliga, Dora, feminin, 1970
1890522033544, Opris, Albert, masculin, 2008
2770813022848, Manole, Ioana, feminin, 1995
2700505527129, Macovei, Flavia, feminin, 1989
1951113191485, Hetco, Andrei, masculin, 2016
1871205098888, Voiculescu, Cosmin, masculin, 2013
1750413350890, Voiculescu, Alexandru, masculin, 2002
1780624066694, Sabau, Matei, masculin, 2003
1780712332574, Fulga, Doru, masculin, 2003
1830424298942, Nicoara, Paul, masculin, 2009
1920826096684, Baciu, David, masculin, 2016
2681028071550, Pacuraru, Anca, feminin, 1988
1750316229329, Stanciu, Paul, masculin, 2000
1610910336187, Mureseanu, Matei, masculin, 1985
2861019169598, Neagu, Simina, feminin, 2012
1860621348565, Hosu, Robert, masculin, 2008
2720107344918, Filipoaie, Otlia, feminin, 1992
1561109344269, Hosu, Alexandru, masculin, 1976
1840417520838, Zarnescu, Mihai, masculin, 2005
2760218017851, Baciu, Simina, feminin, 2002
1520522105525, Fulga, Codrut, masculin, 1973
1520319146841, Munteanu, David, masculin, 1978
2560621524982, Dragulescu, Anca, feminin, 1978
2750713185893, Badea, Florina, feminin, 1996
1870708064070, Opris, Vlad, masculin, 2007
1671220512024, Macovei, David, masculin, 1986
2891019036733, Grigorescu, Anca, feminin, 2009
2820613344941, Herlea, Elena, feminin, 2003
2740917058578, Baciu, Ioana, feminin, 2001
1910605215293, Grigorescu, Codrut, masculin, 2013
2610921144790, Stanciu, Mihaela, feminin, 1981
2551025393884, Herlea, Simina, feminin, 1975
1650417510731, Baciu, Paul, masculin, 1992
1821110190878, Sabau, Horia, masculin, 2006
1971021312986, Ene, Alexandru, masculin, 2016
2840119050112, Fulga, Ingrid, feminin, 2001
1890919356071, Craciun, Andrei, masculin, 2007
1510605331500, Gliga, Sergiu, masculin, 1969
2760702041804, Fulga, Izabela, feminin, 1997
2500517245151, Opris, Izabela, feminin, 1973
2730907172423, Grigorescu, Nicoleta, feminin, 1993
2980919529110, Ene, Natalia, feminin, 2023
2721011199804, Fulga, Dora, feminin, 1998
2880326118434, Baciu, Andreea, feminin, 2015
1840913264138, Lazar, Raul, masculin, 2002
2730903353756, Fulga, Otlia, feminin, 1998
2560218127381, Opris, Flavia, feminin, 1976
1550905142612, Zarnescu, Doru, masculin, 1973
1760101368847, Nicoara, Andrei, masculin, 1999
1620212204196, Toderas, Alexandru, masculin, 1985
2870224199342, Baciu, Ada, feminin, 2008
2910915332235, Gliga, Maria, feminin, 2018
1830214528504, Ionita, Albert, masculin, 2009
2770309209384, Gliga, Nicoleta, feminin, 1999
2680531330086, Herlea, Elena, feminin, 1986
1640307168697, Danciu, Vlad, masculin, 1983
2600503314036, Herlea, Andreea, feminin, 1979
2730121281855, Stanciu, Alexandra, feminin, 1999
1770721063900, Filipoaie, Doru, masculin, 1996
2770204073060, Toderas, Elena, feminin, 1996
2890820528958, Zarnescu, Nicoleta, feminin, 2008
2640408022920, Ene, Ingrid, feminin, 1983
2521124210881, Pop, Elena, feminin, 1978
2761027157841, Nicoara, Simina, feminin, 2003
2720221334775, Zarnescu, Natalia, feminin, 1995
1770731131086, Hetco, Matei, masculin, 1997
2751012133098, Badea, Dora, feminin, 1993
1910521116952, Medeleanu, Stefan, masculin, 2017
2970415058231, Sabau, Ada, feminin, 2023
2770228299835, Zarnescu, Ingrid, feminin, 2001
1540922251138, Hosu, Matei, masculin, 1978
1820713334735, Hetco, Cosmin, masculin, 2004
1760226384813, Nastase, Stefan, masculin, 2000
2910706528151, Manole, Simina, feminin, 2016
2891121327919, Stanciu, Maria, feminin, 2016
1880716033493, Herlea, Cosmin, masculin, 2013
2951210020780, Lazar, Maria, feminin, 2018
2661109101924, Nicoara, Alexandra, feminin, 1987
1590823165159, Filipoaie, Raul, masculin, 1979
2630821284991, Filipoaie, Nicoleta, feminin, 1987
1960607010445, Neagu, Vlad, masculin, 2020
2620627372962, Gruia, Izabela, feminin, 1989
2770518228359, Voiculescu, Elena, feminin, 2002
1920224136899, Ionita, Stefan, masculin, 2019
1740318045020, Ene, Ciprian, masculin, 1996
2620424124356, Dogaru, Elena, feminin, 1983
1860101168588, Nastase, Andrei, masculin, 2005
1541231368195, Dogaru, Stefan, masculin, 1980
2990905187870, Gruia, Simina, feminin, 2017
2740306048011, Hosu, Mihaela, feminin, 2001
1970311037700, Mureseanu, Claudiu, masculin, 2022
2590710058342, Macovei, Maria, feminin, 1981
1660822128120, Manole, Cornel, masculin, 1986
2510909232089, Badea, Otlia, feminin, 1969
2940221274920, Macovei, Florina, feminin, 2018
1800503268858, Toderas, Mihai, masculin, 1999
1910103520121, Manole, Alexandru, masculin, 2011
1910611125389, Stanciu, Andrei, masculin, 2018
1820218151545, Filipoaie, Cosmin, masculin, 2009
1531027515711, Fulga, Raul, masculin, 1978
1880505045015, Fulga, Raul, masculin, 2012
1641211359543, Macovei, Horia, masculin, 1985
1840815333997, Pacuraru, Codrut, masculin, 2011
1930321010137, Opris, Alexandru, masculin, 2013
1740102217185, Herlea, Doru, masculin, 2000
2980317089271, Stanciu, Ada, feminin, 2020
1640201218871, Ionita, Vlad, masculin, 1984
2820221208891, Herlea, Adriana, feminin, 2000
1731026243303, Hetco, Stefan, masculin, 1998
1630105345731, Baciu, Andrei, masculin, 1985
1630509237840, Toderas, Matei, masculin, 1989
1841215017957, Mureseanu, Ciprian, masculin, 2004
2530718229225, Voiculescu, Ingrid, feminin, 1974
1740714395219, Zarnescu, Cornel, masculin, 2000
2870822041231, Baciu, Natalia, feminin, 2006
2500413529430, Baciu, Elena, feminin, 1968
2670426275762, Baciu, Zenobia, feminin, 1986
1501118265428, Neagu, David, masculin, 1976
2900809221194, Gliga, Izabela, feminin, 2011
2580519154221, Filipoaie, Andreea, feminin, 1984
1740527189878, Herlea, Claudiu, masculin, 1994
2670122112002, Badea, Flavia, feminin, 1988
1911023038855, Badea, Paul, masculin, 2012
2841207075521, Neagu, Dora, feminin, 2011
1530104094748, Baciu, Alexandru, masculin, 1972
2560706292870, Lazar, Elena, feminin, 1976
2740923042601, Sabau, Ioana, feminin, 1993
1610220074667, Zarnescu, Alexandru, masculin, 1986
2720214123442, Macovei, Maria, feminin, 1998
1860714523307, Hetco, Sergiu, masculin, 2010
2760923049040, Gruia, Natalia, feminin, 2000
2801205517621, Hetco, Flavia, feminin, 1999
1580215188600, Herlea, Stefan, masculin, 1976
2830302386692, Dragulescu, Natalia, feminin, 2001
2831003346821, Pacuraru, Natalia, feminin, 2001
1740823063737, Dragulescu, Paul, masculin, 1993
1530715511180, Dragulescu, Horia, masculin, 1976
1911013157087, Pacuraru, Mihai, masculin, 2013
2550716326603, Herlea, Adriana, feminin, 1975
1520904335269, Gruia, Ciprian, masculin, 1979
2610921225032, Filipoaie, Ioana, feminin, 1987
1530411148738, Munteanu, Matei, masculin, 1980
1670421030665, Herlea, Raul, masculin, 1987
1520122391849, Filipoaie, Stefan, masculin, 1970
2650502297034, Medeleanu, Otlia, feminin, 1992
2801128179197, Grigorescu, Anca, feminin, 2001
1651022140109, Grigorescu, Cornel, masculin, 1990
1940615399693, Medeleanu, Claudiu, masculin, 2018
1640404191880, Lazar, Horia, masculin, 1990
2811120379301, Opris, Ioana, feminin, 2005
1850204511809, Nicoara, David, masculin, 2011
2551119239001, Gliga, Anca, feminin, 1976
2840801274829, Toderas, Flavia, feminin, 2009
2870219066356, Medeleanu, Elena, feminin, 2014
2870316111854, Nicoara, Elena, feminin, 2012
2950420236706, Toderas, Mihaela, feminin, 2019
1770508396030, Danciu, Sergiu, masculin, 2002
1730923017447, Filipoaie, Albert, masculin, 1997
1801231175871, Craciun, Horia, masculin, 2003
2660526090901, Ene, Maria, feminin, 1984
2990923225729, Dogaru, Anca, feminin, 2024
2591128110332, Pop, Natalia, feminin, 1983
2750317174467, Hosu, Maria, feminin, 2000
1551217097140, Dragulescu, Ciprian, masculin, 1976
1680924201400, Pop, Ciprian, masculin, 1989
1711027120953, Craciun, Alexandru, masculin, 1991
1760215040239, Manole, Cornel, masculin, 2003
2571118311044, Herlea, Anca, feminin, 1977
2990926302579, Gruia, Izabela, feminin, 2023
2640207356653, Herlea, Ingrid, feminin, 1983
2920406362082, Danciu, Dora, feminin, 2016
1591018222908, Dragulescu, Mihai, masculin, 1977
2980904227231, Craciun, Alexandra, feminin, 2019
2930911010151, Grigorescu, Flavia, feminin, 2020
1940926332721, Neagu, Codrut, masculin, 2013
1531021121227, Craciun, David, masculin, 1971
2890512236183, Grigorescu, Izabela, feminin, 2009
1831130331659, Stanciu, Stefan, masculin, 2007
2971111342312, Filipoaie, Anda, feminin, 2017
2510711186302, Herlea, Florina, feminin, 1977
1600126259372, Ene, Albert, masculin, 1980
1990430127597, Zarnescu, Alexandru, masculin, 2021
2580809104319, Hosu, Adriana, feminin, 1984
2801116037386, Toderas, Otlia, feminin, 2001
2661006122498, Fulga, Elena, feminin, 1984
1670210288319, Pop, Cosmin, masculin, 1989
2860908195460, Munteanu, Dora, feminin, 2004
2960219028612, Dragulescu, Simina, feminin, 2018
2890515379456, Ene, Elena, feminin, 2010
1910501281028, Badea, Vlad, masculin, 2011
2690214344493, Herlea, Ingrid, feminin, 1996
1540322202450, Toderas, Codrut, masculin, 1974
2930717073011, Fulga, Mihaela, feminin, 2018
1970504375956, Ene, Ciprian, masculin, 2023
2500803081402, Pacuraru, Adriana, feminin, 1972
1910727320562, Munteanu, Stefan, masculin, 2017
2830406264478, Toderas, Zenobia, feminin, 2006
2751019154871, Grigorescu, Dora, feminin, 1997
1570602174639, Nastase, Alexandru, masculin, 1984
2530817120177, Opris, Alexandra, feminin, 1977
2850724265961, Medeleanu, Ioana, feminin, 2011
2631002192901, Baciu, Adriana, feminin, 1982
1811105350894, Sabau, Paul, masculin, 2001
1731231178446, Danciu, Claudiu, masculin, 1997
1520102139427, Macovei, Sergiu, masculin, 1977
1791001253997, Manole, Raul, masculin, 2000
2760513176542, Pop, Simina, feminin, 1997
1791221160721, Filipoaie, Alexandru, masculin, 2004
1900305093460, Opris, Raul, masculin, 2008
2690714332442, Fulga, Florina, feminin, 1995
1520122066613, Toderas, Alexandru, masculin, 1971
1641102178897, Grigorescu, Matei, masculin, 1991
2710322248516, Danciu, Izabela, feminin, 1993
2790321098735, Sabau, Maria, feminin, 2006
2940708047148, Craciun, Simina, feminin, 2019
1991201304616, Sabau, Vlad, masculin, 2026
2590320272037, Zarnescu, Alexandra, feminin, 1983
2500728033096, Pacuraru, Maria, feminin, 1971
2541102145271, Macovei, Ada, feminin, 1976
2601114240917, Toderas, Alexandra, feminin, 1985
1611221051635, Ionita, Horia, masculin, 1979
1641117117838, Grigorescu, David, masculin, 1982
1950725260150, Badea, Albert, masculin, 2020
1500707225683, Pacuraru, Vlad, masculin, 1977
1650407129695, Zarnescu, David, masculin, 1988
2950622391400, Voiculescu, Anda, feminin, 2013
1671217149935, Lazar, Vlad, masculin, 1985
2540219266167, Grigorescu, Anda, feminin, 1972
2901120272235, Craciun, Zenobia, feminin, 2015
2710415380053, Hosu, Alexandra, feminin, 1993
2970121153142, Grigorescu, Adriana, feminin, 2023
1721004299447, Macovei, Codrut, masculin, 1995
2940925326985, Pop, Florina, feminin, 2016
1771209226695, Craciun, David, masculin, 1997
2970306214098, Hosu, Dora, feminin, 2022
1670502526521, Ene, Paul, masculin, 1989
1840926376847, Fulga, Sergiu, masculin, 2003
1940709203681, Hetco, Sergiu, masculin, 2019
2790516307039, Herlea, Simina, feminin, 1998
1570328527166, Sabau, Paul, masculin, 1982
2520110067548, Macovei, Izabela, feminin, 1974
1970625352872, Ene, Matei, masculin, 2017
2831113390576, Craciun, Alexandra, feminin, 2007
1860220242941, Munteanu, Matei, masculin, 2005
2760915069901, Badea, Ioana, feminin, 2002
1510108282268, Baciu, Horia, masculin, 1970
2610611137785, Mureseanu, Ada, feminin, 1988
1780630023845, Mureseanu, Claudiu, masculin, 1996
2690301361467, Baciu, Alexandra, feminin, 1988
1900924138688, Badea, Cornel, masculin, 2010
2940807208419, Neagu, Izabela, feminin, 2012
1820411103611, Pop, Cornel, masculin, 2003
1910327314167, Danciu, Robert, masculin, 2012
1580919395754, Baciu, Paul, masculin, 1981
2780827382305, Medeleanu, Anda, feminin, 2001
2820319369869, Dogaru, Elena, feminin, 2007
2640607175877, Danciu, Nicoleta, feminin, 1987
2860821299811, Hosu, Ingrid, feminin, 2013
1880325067890, Munteanu, David, masculin, 2012
1800731094494, Grigorescu, Stefan, masculin, 2001
1590807024758, Opris, Claudiu, masculin, 1985
1750223343097, Manole, Andrei, masculin, 1998
2710517023651, Badea, Anda, feminin, 1995
1650324243826, Baciu, Mihai, masculin, 1992
2700704041018, Ene, Elena, feminin, 1991
1950907525795, Macovei, Claudiu, masculin, 2016
2540816067642, Dogaru, Alexandra, feminin, 1973
1701127205980, Baciu, Stefan, masculin, 1990
1750501033154, Baciu, David, masculin, 1994
2740614515584, Sabau, Andreea, feminin, 2000
1991103076001, Badea, Codrut, masculin, 2023
1530825370701, Dogaru, Matei, masculin, 1972
1850425199061, Munteanu, Raul, masculin, 2011
1521211529812, Manole, Albert, masculin, 1971
2730718286444, Danciu, Izabela, feminin, 1995
2661025056495, Voiculescu, Nicoleta, feminin, 1984
2741015018045, Herlea, Flavia, feminin, 1998
1610209144567, Grigorescu, Andrei, masculin, 1980
1770307059210, Sabau, Vlad, masculin, 1996
2661222047476, Gruia, Mihaela, feminin, 1993
1750313334640, Toderas, David, masculin, 1994
2600727070818, Dragulescu, Nicoleta, feminin, 1987
2680711288803, Craciun, Anca, feminin, 1995
2810303342647, Nastase, Ingrid, feminin, 2004
1831203525674, Ene, Doru, masculin, 2001
2511222049402, Pacuraru, Nicoleta, feminin, 1971
2990811057234, Macovei, Elena, feminin, 2026
1740608163729, Neagu, Sergiu, masculin, 1997
1750713131279, Mureseanu, Ciprian, masculin, 1996
2840314083931, Nastase, Alexandra, feminin, 2004
2570801223144, Dragulescu, Maria, feminin, 1979
2810715146784, Danciu, Anda, feminin, 2004
2741002175094, Badea, Ingrid, feminin, 1999
1910420337955, Dogaru, Stefan, masculin, 2017
2870228307346, Hosu, Otlia, feminin, 2012
2830822154008, Voiculescu, Dora, feminin, 2010
2680406035833, Hosu, Otlia, feminin, 1988
2911214054942, Hetco, Ada, feminin, 2012
2910305345629, Nastase, Alexandra, feminin, 2011
1931003525067, Gliga, Mihai, masculin, 2013
2800122237127, Gliga, Elena, feminin, 2006
2950426015682, Grigorescu, Izabela, feminin, 2015
1940615363576, Pop, Andrei, masculin, 2016
2740107071051, Sabau, Simina, feminin, 1994
1900807036117, Gruia, Codrut, masculin, 2012
1961207525772, Nicoara, Ciprian, masculin, 2020
1900223207101, Mureseanu, Horia, masculin, 2011
1920917293899, Neagu, Horia, masculin, 2014
1741102201944, Filipoaie, Cosmin, masculin, 1994
2650616176541, Gruia, Otlia, feminin, 1984
2830709199797, Gliga, Izabela, feminin, 2009
1971211298281, Danciu, Sergiu, masculin, 2021
1841126391598, Gruia, Cosmin, masculin, 2004
1900518296248, Pop, Doru, masculin, 2010
1720416017582, Neagu, Codrut, masculin, 1996
1880326058533, Macovei, Ciprian, masculin, 2012
2980702109861, Grigorescu, Dora, feminin, 2023
1580207138719, Mureseanu, Matei, masculin, 1978
1810909054541, Badea, Cosmin, masculin, 2006
2720823226941, Fulga, Elena, feminin, 1998
2660417020726, Medeleanu, Ada, feminin, 1990
1851003517458, Zarnescu, Albert, masculin, 2006
1600115053727, Dogaru, Mihai, masculin, 1986
2660208073931, Munteanu, Zenobia, feminin, 1990
2710101091098, Zarnescu, Maria, feminin, 1993
2891017024094, Craciun, Ada, feminin, 2013
1910928255073, Baciu, Sergiu, masculin, 2011
2691231073270, Filipoaie, Izabela, feminin, 1993
1960322529096, Dogaru, Albert, masculin, 2023
2780810323476, Craciun, Anda, feminin, 2003
1521204024890, Opris, Vlad, masculin, 1974
2770109042397, Dogaru, Simina, feminin, 1999
2890626265462, Macovei, Anda, feminin, 2009
1721104379184, Grigorescu, Horia, masculin, 1998
2510122196496, Ene, Izabela, feminin, 1976
1960219133463, Stanciu, Matei, masculin, 2018
2971202038067, Danciu, Anca, feminin, 2023
1620506238313, Zarnescu, Matei, masculin, 1985
2610404095244, Lazar, Maria, feminin, 1981
2850913196419, Voiculescu, Ada, feminin, 2007
2640523312944, Dragulescu, Ada, feminin, 1987
1690224176757, Hetco, Horia, masculin, 1993
2511005187982, Mureseanu, Andreea, feminin, 1978
1940503042543, Mureseanu, David, masculin, 2014
1830803106311, Dragulescu, Matei, masculin, 2008
1520511363836, Pacuraru, Sergiu, masculin, 1973
2770515117329, Sabau, Ioana, feminin, 2001
1640226071004, Sabau, Stefan, masculin, 1985
2590101084057, Neagu, Dora, feminin, 1985
2620630210871, Macovei, Elena, feminin, 1981
1631016305420, Dogaru, Codrut, masculin, 1987
1741204298058, Ionita, Stefan, masculin, 1997
1730612348625, Mureseanu, Robert, masculin, 1995
1510407369598, Mureseanu, Raul, masculin, 1978
1630121153245, Herlea, Cosmin, masculin, 1981
1770309512844, Gruia, Doru, masculin, 1995
1950322170492, Manole, Stefan, masculin, 2014
2580323118672, Neagu, Ada, feminin, 1984
2960128154683, Voiculescu, Anda, feminin, 2019
1620824109060, Hosu, Horia, masculin, 1981
1921103155541, Hosu, Ciprian, masculin, 2016
1910801511541, Stanciu, Vlad, masculin, 2018
2690519330501, Munteanu, Anda, feminin, 1989
1510228074072, Hosu, Doru, masculin, 1976
1620902315804, Grigorescu, David, masculin, 1982
1860415097915, Ionita, Codrut, masculin, 2011
1510218354850, Pop, Alexandru, masculin, 1973
2950604280395, Craciun, Anda, feminin, 2021
1840624291191, Neagu, Sergiu, masculin, 2011
2880703281146, Gliga, Dora, feminin, 2013
1910912328919, Pacuraru, Stefan, masculin, 2010
1730807146073, Macovei, Raul, masculin, 1997
1930430521905, Toderas, Robert, masculin, 2018
2530517122548, Gliga, Andreea, feminin, 1979
1711120095572, Munteanu, Mihai, masculin, 1995
1860410113844, Nastase, Sergiu, masculin, 2005
2861010012131, Gliga, Anda, feminin, 2009
2950105231399, Nicoara, Florina, feminin, 2016
1801126326049, Ene, Horia, masculin, 2005
1770226311621, Hosu, Paul, masculin, 1999
1681109094694, Lazar, Vlad, masculin, 1989
1761003333357, Fulga, Sergiu, masculin, 2002
2770819063531, Baciu, Anca, feminin, 1995
1780306335803, Gliga, Albert, masculin, 1999
2581021195257, Pop, Natalia, feminin, 1980
1761002040554, Zarnescu, Cornel, masculin, 2001
1971102137175, Voiculescu, Paul, masculin, 2024
1960901073361, Manole, David, masculin, 2016
2990510391425, Baciu, Ingrid, feminin, 2021
2560627287192, Zarnescu, Maria, feminin, 1982
1600407172115, Toderas, Cosmin, masculin, 1987
2611026079607, Herlea, Florina, feminin, 1985
2950215139725, Zarnescu, Anda, feminin, 2021
1960322024037, Nastase, Doru, masculin, 2020
1711108307775, Badea, Vlad, masculin, 1993
2930420347504, Ionita, Ingrid, feminin, 2013
2540320328491, Dragulescu, Adriana, feminin, 1981
2721123194465, Zarnescu, Ada, feminin, 1999
2710724203173, Gruia, Ioana, feminin, 1995
2530522129580, Gruia, Ada, feminin, 1979
2840309356276, Pop, Alexandra, feminin, 2010
2610311188532, Hetco, Elena, feminin, 1979
1960406387941, Munteanu, Albert, masculin, 2023
1800509346677, Baciu, Stefan, masculin, 2001
2851001237287, Danciu, Otlia, feminin, 2010
1720506266353, Gliga, Vlad, masculin, 1992
2771114189017, Toderas, Alexandra, feminin, 2002
1590919373124, Craciun, Raul, masculin, 1985
2541012177831, Badea, Elena, feminin, 1975
1610316290022, Medeleanu, Paul, masculin, 1982
1690207112812, Voiculescu, Horia, masculin, 1988
1770911147293, Baciu, David, masculin, 2004
1930808100210, Hosu, Albert, masculin, 2012
1930421190758, Dragulescu, Doru, masculin, 2012
2560202324833, Gruia, Anca, feminin, 1982
2980923280129, Nastase, Flavia, feminin, 2020
2940728162335, Fulga, Elena, feminin, 2012
1500615010424, Craciun, Cornel, masculin, 1972
2660512035309, Filipoaie, Florina, feminin, 1990
2610110071532, Zarnescu, Mihaela, feminin, 1980
2921202236718, Opris, Maria, feminin, 2010
2660327027013, Nastase, Alexandra, feminin, 1993
1831020131706, Fulga, Codrut, masculin, 2009
2590103310539, Zarnescu, Ingrid, feminin, 1976
1621217332575, Craciun, Cosmin, masculin, 1980
2690214246510, Toderas, Otlia, feminin, 1992
2890127173389, Voiculescu, Maria, feminin, 2015
2680820224732, Baciu, Ada, feminin, 1986
1560305093210, Opris, Stefan, masculin, 1980
1910314342113, Baciu, Sergiu, masculin, 2011
2630424371484, Dragulescu, Natalia, feminin, 1987
1871026512528, Grigorescu, Claudiu, masculin, 2008
2810713150451, Dogaru, Ingrid, feminin, 2007
2750327168344, Sabau, Alexandra, feminin, 1997
2691018364708, Toderas, Zenobia, feminin, 1987
2900319391939, Nicoara, Andreea, feminin, 2015
1941023152063, Craciun, Albert, masculin, 2012
2690807142033, Ionita, Dora, feminin, 1992
2811218212761, Hosu, Ada, feminin, 2003
2830323171932, Macovei, Maria, feminin, 2001
1740601154373, Ene, Cosmin, masculin, 1999
2861212245641, Pop, Florina, feminin, 2013
2711003147489, Craciun, Andreea, feminin, 1991
2810718153265, Ene, Andreea, feminin, 2007
1871025106097, Stanciu, Mihai, masculin, 2012
2930819104108, Pop, Natalia, feminin, 2019
1790318385163, Danciu, Cosmin, masculin, 2002
2920913379681, Hosu, Simina, feminin, 2012
1810226165570, Pop, Horia, masculin, 2002
1620303335922, Grigorescu, Raul, masculin, 1982
2961218265583, Manole, Florina, feminin, 2018
1960303019751, Stanciu, Paul, masculin, 2017
2850721086719, Badea, Anca, feminin, 2005
2620719152411, Grigorescu, Elena, feminin, 1985
1971123322392, Badea, Stefan, masculin, 2016
2891107088645, Sabau, Mihaela, feminin, 2016
1590817250365, Ene, Horia, masculin, 1984
1970222097194, Gruia, Horia, masculin, 2019
1990924245791, Dragulescu, Codrut, masculin, 2023
2841015305711, Hetco, Otlia, feminin, 2006
1670211041931, Grigorescu, David, masculin, 1994
2841111327955, Dogaru, Maria, feminin, 2004
2810827147135, Lazar, Ada, feminin, 2005
2711003332854, Dragulescu, Flavia, feminin, 1998
2910807389561, Neagu, Izabela, feminin, 2017
1510114227071, Gliga, Andrei, masculin, 1969
1850114015041, Nicoara, Alexandru, masculin, 2010
1540215342736, Gruia, Paul, masculin, 1979
1610427185847, Nastase, Stefan, masculin, 1982
1911017054378, Nastase, Doru, masculin, 2014
2680408048576, Filipoaie, Dora, feminin, 1994
1630121220719, Toderas, Robert, masculin, 1985
1980809271143, Dragulescu, Horia, masculin, 2018
2830109059281, Dogaru, Andreea, feminin, 2003
1750618059598, Hosu, David, masculin, 1996
2530619192433, Dragulescu, Natalia, feminin, 1972
1620521191346, Danciu, Mihai, masculin, 1989
